"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
1	"Minchir Secant"	8218	2.02	1.24	1.18	"desert"	"rocky:windy:tropical"
2	"Minchir Septimal"	8218	0.52	0.782	0.87	"glacier:jungle:jungle:canyons"	"tropical:windy:artic:rocky:temperate:humid"
3	"Nocturne Echo Wu"	6698	4.35	1.263	1.51	"sea"	"frozen:frigid:subartic:superheated:tropical:rocky:artic"
4	"Nocturne Echo San"	6698	4.43	1.119	1.58	"ice canyon:hill:lakes:volcano:rocky desert:mountain"	"humid:windy:hot:arid:frigid"
5	"Pipoltr X"	2176	2.77	0.999	1.4	"swamp:rainforest:rocky island:vine:forest:plateau"	"subartic:tropical:artic:temperate"
6	"Pipoltr V"	2176	6.22	0.79	1.99	"bog:canyons"	"hot:windy"
7	"Aludra XIII"	4063	9.21	1.43	1.86	"hill"	"tropical:frozen"
8	"Alnair Septimal"	1820	4.89	1.211	1.59	"tundra"	"temperate:superheated:frozen:artificial temperate:hot"
9	"Sadalmelik Tertial"	671	2.38	1.637	1.13	"plateau:scrubland:mountain"	"subartic:arid"
10	"Sadalmelik Quartal"	671	2.12	1.129	1.23	"ice cave:reef:field:mountain:hill"	"artic:artificial temperate:frozen:windy"
11	"Sadalmelik Septimal"	671	8.77	1.234	1.92	"valley"	"frozen:humid"
12	"Sadalmelik Vigesimal"	671	5.73	0.536	2.2	"city:island:rocky island:urban:rocky desert:cliff"	"artic:windy:arid:temperate:subartic"
13	"Quasarlynx Xi"	6187	2.05	0.996	1.27	"toxic cloudsea"	"frozen:superheated:subartic:windy"
14	"Obsidian Threshold Gamma"	4694	5.34	0.927	1.79	"ice cave:vine:cave:bog:plateau"	"humid:artificial temperate:windy:frozen"
15	"Obsidian Threshold Delta"	4694	3.93	1.137	1.51	"tundra"	"subartic"
16	"Kaus Australis Centaurios"	9370	1.4	0.628	1.31	"cave"	"windy:humid"
17	"Kaus Australis Cerberian"	9370	7.17	1.333	1.75	"forest:cityscape:ocean"	"tropical:hot"
18	"Etherios Quartal"	5251	0.9	0.936	0.99	"jungle:fungus forest:field"	"arid:hot"
19	"Etherios Duodecimal"	5251	5.82	1.149	1.72	"river:jungle"	"artic:tropical"
20	"Zosma Nonal"	7614	7.65	0.534	2.43	"plateau:ice canyon:rock arche:river"	"humid:temperate:arid:artic"
21	"Zosma Octal"	7614	3.64	0.822	1.64	"bog:urban:river:plain:cityscape:ocean:vine:reef"	"superheated:humid:artificial temperate:arid:temperate:artic:windy"
22	"Zosma Vigesimal"	7614	1.85	1.169	1.17	"valley:river:ocean"	"arid:tropical:temperate:superheated"
23	"Elysiumix Kappa"	7147	2.67	0.872	1.45	"field:mountain:valley:vine"	"tropical:frozen:subartic:hot"
24	"Elysiumix Omega"	7147	0.79	1.159	0.88	"tundra:sinkholes:ice canyon:lava river:grassland:rocky desert"	"arid:rocky:hot:temperate:frozen"
25	"Elysiumix Delta"	7147	2.83	0.78	1.54	"acid pool:cave:plateau:volcano:river:valley"	"windy:rocky:humid:superheated:artic"
26	"Sylvarix Alpha"	6159	4.63	0.858	1.75	"river:jungle:volcano:vine:savanna:swamp:sinkholes:scrubland"	"arid:frozen:tropical:temperate:rocky:artificial temperate:hot"
27	"Sylvarix Kappa"	6159	1.33	1.353	0.99	"cliff"	"artificial temperate:frozen:windy:temperate:frigid:rocky"
28	"Solarionis Eta"	4926	0.82	0.997	0.94	"fungus forest:cave:lakes"	"hot:artificial temperate:tropical:frigid"
29	"Dracothra Oranos"	1715	1.8	1.148	1.16	"canyons:city:sinkholes:cave:tundra"	"hot:superheated:subartic:frozen"
30	"Nunki XXI"	6764	0.65	0.772	0.94	"toxic cloudsea"	"artic:superheated:temperate:artificial temperate"
31	"Tangra Quintal"	8539	1.14	0.617	1.23	"rocky canyon"	"artificial temperate:windy"
32	"Tangra Septimal"	8539	2.98	0.951	1.46	"sinkholes:jungle"	"hot:subartic"
33	"Obelisk Beacon XV"	8043	2.83	0.774	1.54	"mountain"	"rocky"
34	"Obelisk Beacon XXI"	8043	0.38	0.807	0.78	"verdant"	"tropical:frigid:humid"
35	"Obelisk Beacon XII"	8043	1.89	0.981	1.24	"plateau:grassland:sea:fungus forest:swamp:ice cave"	"rocky:temperate:hot:humid:subartic:arid:windy"
36	"Obelisk Beacon X"	8043	1.34	1.233	1.03	"vine:rock arche:island:swamp:valley:glacier"	"tropical:subartic:artificial temperate:frozen"
37	"Aozora Nebula Gamma"	296	1.46	1.184	1.07	"sea:plateau"	"frozen:frigid"
38	"Praecipua Jiu"	7684	3.09	1.424	1.29	"lava river:river:ash:verdant"	"rocky:frigid:superheated:arid"
39	"Bunda Kappa"	1093	5.57	1.142	1.7	"jungle:rocky desert:forest:jungle"	"rocky:windy:tropical:artic"
40	"Bunda Phi"	1093	1.21	0.9	1.1	"verdant:river"	"subartic"
41	"Bunda Gamma"	1093	3.05	0.956	1.47	"savanna:rainforest:tundra:desert"	"frigid:humid:tropical:subartic:rocky:windy"
